the_geom,Borough,Feat_Type,OfficialNM,Honor_Name,Old_Name,ULURPCPNUM,Intro_NUM,Intro_Year,IntroMonth,Intro_Day,LL_NUM,LL_SEC,LL_Type,LLEffectDT,LL_Limits,Limits_ER,Repealed,Repeal_DT,Amended,Amend_DT,Amendt_TXT,AMDYRLLSEC
POINT (-74.1046164846726 40.630800900283276),Staten Island,Corner name,None,Firefighter Michael Fiore Way,None,none,0318,2002,12,4,006,47,Honorary,01/07/2003,the northeast corner of the intersection of Hoyt Avenue and Forest Avenue,,No,,No,,,
POINT (-74.12796098609986 40.62003806348281),Staten Island,Corner name,None,Firefighter Arthur T. Barry Way,None,none,0318,2002,12,4,006,48,Honorary,01/07/2003,the northeast corner of the intersection of Elmira Avenue and Wescott Boulevard,,No,,No,,,
POINT (-74.13831208719849 40.62718112562366),Staten Island,Corner name,None,Firefighter David LaForge Way,None,none,0318,2002,12,4,006,50,Honorary,01/07/2003,the southeast corner of the intersection of Decker Avenue and Barrett Avenue,,No,,No,,,
POINT (-74.07619210096665 40.60761301896426),Staten Island,Corner name,None,Walter Baran Way,None,none,0318,2002,12,4,006,51,Honorary,01/07/2003,the southeast corner of the intersection of Donley Avenue and Hylan Boulevard,,No,,No,,,
POINT (-74.10461867798392 40.625721624231524),Staten Island,Corner name,None,Alfred J. Braca Way,None,none,0318,2002,12,4,006,52,Honorary,01/07/2003,the southeast corner of the intersection of Bard Avenue and Thames Avenue,,No,,No,,,
POINT (-74.10493253684692 40.62612103964271),Staten Island,Corner name,None,"Robert H. Lynch, Jr. Way",None,none,0318,2002,12,4,006,54,Honorary,01/07/2003,the southwest corner of the intersection of Bard Avenue and Matthews Avenue,,No,,No,,,
POINT (-74.11464270290438 40.57692687327396),Staten Island,Intersection name,None,"Frank J. Spinelli, Jr. Way",None,none,0318,2002,12,4,006,55,Honorary,01/07/2003,the intersection of Otis Avenue and Kruser Street,,No,,No,,,
POINT (-74.00987373255239 40.624679002188856),Brooklyn,Corner name,None,Maria LaVache 9/11 Memorial Way,None,none,0471,2004,10,13,063,13,Honorary,12/21/2004,the northeast corner of 72nd Street and 11th Avenue,,No,,No,,,
POINT (-73.81163814811583 40.7940114771417),Queens,Intersection name,None,Transit Police Officer Thomas R. O'Dea Place,None,none,0471,2004,10,13,063,34,Honorary,12/21/2004,the intersection of 9th Avenue and 151st Place,,No,,No,,,
POINT (-74.09420191564828 40.640108010726905),Staten Island,Corner name,None,"Martin Giovinazzo, Jr. Way",None,none,0318,2002,12,4,006,56,Honorary,01/07/2003,the southeast corner of  the intersection of Lafayette Avenue and Cortelyou Place,,No,,No,,,
POINT (-74.10842111036159 40.632474650838276),Staten Island,Corner name,None,Captain John R. Fischer Way,None,none,0318,2002,12,4,006,57,Honorary,01/07/2003,the southeast corner of the intersection of De Kay Street and Davis Avenue,,No,,No,,,
POINT (-73.90464943075168 40.740061397846056),Queens,Corner name,None,47th Avenue,None,none,0318,2002,12,4,006,60,Honorary,01/07/2003,the northwest corner of the intersection of 47th Avenue and 60th Street,,No,,No,,,
POINT (-74.06431713445889 40.61181863096176),Staten Island,Corner name,None,Firefighter Robert Curatolo Lane,None,none,0318,2002,12,4,006,61,Honorary,01/07/2003,the southeast corner of the intersection of New Lane and Bay Street,,No,,No,,,
POINT (-74.12439980116025 40.62296749649483),Staten Island,Corner name,None,Firefighter Lenny Ragaglia Way,None,none,0318,2002,12,4,006,63,Honorary,01/07/2003,the southeast corner of the intersection of Benedict Avenue and Manor Road,,No,,No,,,
POINT (-74.10277233011854 40.631640882759896),Staten Island,Corner name,None,Jane Ellen Baeszler Way,None,none,0318,2002,12,4,006,64,Honorary,01/07/2003,the southeast corner of the intersection of Gregg Place and Walbrooke Avenue,,No,,No,,,
POINT (-74.07980212295446 40.64297214679958),Staten Island,Corner name,None,Philip Haentzler Way,None,none,0318,2002,12,4,006,65,Honorary,01/07/2003,the southeast corner of the intersection of Belmont Place and Wall Street,,No,,No,,,
POINT (-74.08744729017656 40.6478063894752),Staten Island,Corner name,None,Beverly Curry Way,None,none,0318,2002,12,4,006,70,Honorary,01/07/2003,the northeast corner of the intersection of Westervelt Avenue and Richmond Terrace,,No,,No,,,
POINT (-74.17633118988414 40.55734654707088),Staten Island,Corner name,None,Firefighter John A. Schardt Avenue,None,none,0318,2002,12,4,006,75,Honorary,01/07/2003,the northeast corner of the intersection of Crossfield Avenue and Annadale Road,,No,,No,,,
POINT (-74.11425941605974 40.56254398581261),Staten Island,Corner name,None,Susan M. Bochino Avenue,None,none,0318,2002,12,4,006,76,Honorary,01/07/2003,the southeast corner of the intersection of Tysens Lane and Falcon Avenue,,No,,No,,,
POINT (-73.93425301155818 40.76279815894218),Queens,Corner name,None,Manuel Mojica Avenue,None,none,0318,2002,12,4,006,83,Honorary,01/07/2003,the southwest corner of the intersection of 34th Avenue and 21st Street,,No,,Yes,2/18/2003,"FF Manuel Mojica, Jr., FDNY Avenue",2003/015/28
POINT (-73.92432192694874 40.62362732965937),Brooklyn,Corner name,None,Firefighter Michael Roberts Corner,None,none,0318,2002,12,4,006,89,Honorary,01/07/2003,the southeast corner of the intersection of Avenue L and East 53rd Street,,No,,No,,,
POINT (-74.12006363326063 40.57330193851299),Staten Island,Corner name,None,Firefighter Joseph Maffeo Avenue,None,none,0318,2002,12,4,006,93,Honorary,01/07/2003,the northwest corner of the intersection of Third Street and Ross Avenue,,No,,No,,,
POINT (-74.16228429405315 40.60734454566131),Staten Island,Corner name,None,Vassili G. Haramis Boulevard,None,none,0318,2002,12,4,006,97,Honorary,01/07/2003,the northeast corner of the intersection of Richmond Avenue and Victory Boulevard,,No,,No,,,
POINT (-74.11007068232072 40.62980062352463),Staten Island,Corner name,None,John Connelly Way,None,none,0343,2003,1,8,015,4,Honorary,02/18/2003,the southeast corner of the intersection of Oakland Avenue and Forest Avenue,Error: It’s the southwest corner,No,,No,,,
POINT (-74.1380639379531 40.62756847135811),Staten Island,Corner name,None,Battalion Chief Joseph Grzelak Way,None,none,0343,2003,1,8,015,5,Honorary,02/18/2003,the southwest corner of the intersection of Beekman Street and Decker Avenue,,No,,No,,,
POINT (-74.16857629202667 40.5447432162841),Staten Island,Corner name,None,Vincent M. Litto Place,None,none,0343,2003,1,8,015,7,Honorary,02/18/2003,the northwest corner of the intersection of Wainwright Avenue and Wilson Avenue,,No,,No,,,
POINT (-74.07542540929882 40.61847832201192),Staten Island,Corner name,None,Firefighter Eddy Day Way,None,none,0343,2003,1,8,015,14,Honorary,02/18/2003,the southeast corner of the intersection of Townsend Avenue and Tompkins Avenue,,No,,No,,,
POINT (-74.16549808457826 40.590617730060245),Staten Island,Corner name,None,Firefighter Lou Arena Drive,None,none,0343,2003,1,8,015,20,Honorary,02/18/2003,the northeast corner of the intersection of Richmond Avenue and Nome Avenue,,No,,No,,,
POINT (-74.15443277351758 40.62559988872135),Staten Island,Corner name,None,James Patrick Ladley Way,None,none,0343,2003,1,8,015,22,Honorary,02/18/2003,the southeast corner of the intersection of Forest Avenue and Van Name Avenue,,No,,No,,,
POINT (-73.93425301155818 40.76279815894218),Staten Island,Corner name,None,"FF Manuel Mojica, Jr., FDNY Avenue",None,none,0343,2003,1,8,015,28,Honorary,02/18/2003,the southwest corner of the intersection of 34th Avenue and 21st Street,,No,,No,,,
POINT (-73.84955097087764 40.78482507664388),Queens,Corner name,None,Firefighter Carl John Bedigian Road,None,none,0437,2003,4,30,034,4,Honorary,06/03/2003,the northwest corner of the intersection of 14th Road and 118th Street,,Yes,10/20/2003,No,,,
POINT (-73.85053713681505 40.82977684962848),Bronx,Intersection name,None,Yvette Nicole Moreno Place,None,none,0437,2003,4,30,034,6,Honorary,06/03/2003,the intersection of Castle Hill Road and Watson Avenue,,No,,No,,,
POINT (-73.87907396844051 40.716274026080505),Queens,Intersection name,None,Dianne T. Signer Drive,None,none,0437,2003,4,30,034,8,Honorary,06/03/2003,the intersection of 65th Drive and 75th Place,,No,,No,,,
POINT (-73.90283955725911 40.70649369608643),Queens,Intersection name,None,Frank Koestner Avenue,None,none,0437,2003,4,30,034,9,Honorary,06/03/2003,the intersection of Forest Avenue and Woodbine Street,,No,,No,,,
POINT (-73.8976832260971 40.712580297628065),Queens,Intersection name,None,Christina Donovan-Flannery Avenue,None,none,0437,2003,4,30,034,10,Honorary,06/03/2003,the intersection of Admiral Avenue and Metropolitan Avenue,,No,,No,,,
POINT (-73.9541087839709 40.74272854662752),Queens,Intersection name,None,P.O. Paul Talty Way,None,none,0437,2003,4,30,034,11,Honorary,06/03/2003,the intersection of 50th Avenue and Vernon Boulevard,,No,,No,,,
POINT (-73.95435566268625 40.742042989649235),Queens,Intersection name,None,Felicia Hamilton Way,None,none,0437,2003,4,30,034,14,Honorary,06/03/2003,the intersection of Vernon Boulevard and 51st Avenue,,No,,No,,,
POINT (-74.20280308251097 40.531045152539356),Staten Island,Intersection name,None,Harry Taback Avenue,None,none,0437,2003,4,30,034,20,Honorary,06/03/2003,the intersection of Bradford Avenue and Foster Road,,No,,No,,,
POINT (-74.19609298418584 40.54049773651381),Staten Island,Intersection name,None,Paul J. Simon Avenue,None,none,0437,2003,4,30,034,21,Honorary,06/03/2003,the intersection of Huguenot Avenue and Rensselaer Avenue,,No,,No,,,
POINT (-74.2049945174938 40.53649711140391),Staten Island,Intersection name,None,John Di Fato Avenue,None,none,0437,2003,4,30,034,22,Honorary,06/03/2003,the intersection of Foster Road and Ramona Avenue,,No,,No,,,
POINT (-74.20624778108662 40.5144151547879),Staten Island,Intersection name,None,"Firefighter Patrick Byrne Ladder 101, FDNY Avenue",None,none,0437,2003,4,30,034,23,Honorary,06/03/2003,the intersection of Hylan Boulevard and Woodvale Avenue,,No,,No,,,
POINT (-74.15278244500972 40.62727605368512),Staten Island,Corner name,None,Clement A. Fumando Way,None,none,0437,2003,4,30,034,29,Honorary,06/03/2003,the southeast corner of the intersection of Wenlock Street and Simonson Avenue,,No,,No,,,
